FOODNAME,good,sad,tired,stress
슈퍼곡물 치킨 10조각,1,0,0,0
옥수수 버터구이 6개,0,0,0,0
치킨퐁듀 그라탕,1,0,0,0
퀴노아 치킨 샐러드,1,0,0,0
트러플 리조또,0,0,0,0
포테이토 순살치킨 3조각,1,0,0,0
프레시 코울슬로,0,0,0,0
프레시 콘샐러드,0,0,0,0
프렌치 라따뚜이,0,0,0,0
하프&하프 스파게티 NEW 치즈 & 화이트 크림,0,0,0,0
화이트 크림 스파게티,0,0,0,0
NEW 치즈 볼로네즈 스파게티,0,0,0,0
티본스테이크&쉬림프 클래식M,0,0,1,0
티본스테이크&쉬림프 클래식L,0,0,1,0
티본스테이크&쉬림프 크런치M,0,0,1,0
티본스테이크&쉬림프 크런치L,0,0,1,0
티본스테이크&쉬림프 리치골드M,0,0,1,0
티본스테이크&쉬림프 리치골드L,0,0,1,0
티본스테이크&쉬림프 치즈크러스트M,0,0,1,0
티본스테이크&쉬림프 치즈크러스트L,0,0,1,0
더블치즈 티본스테이크 클래식M,0,0,1,0
더블치즈 티본스테이크 클래식L,0,0,1,0
더블치즈 티본스테이크 크런치M,0,0,1,0
더블치즈 티본스테이크 크런치L,0,0,1,0
더블치즈 티본스테이크 리치골드M,0,0,1,0
더블치즈 티본스테이크 리치골드L,0,0,1,0
더블치즈 티본스테이크 치즈크러스트M,0,0,1,0
더블치즈 티본스테이크 치즈크러스트L,0,0,1,0
쉬림프올인 클래식M,0,0,1,0
쉬림프올인 클래식L,0,0,1,0
쉬림프올인 크런치M,0,0,1,0
쉬림프올인 크런치L,0,0,1,0
쉬림프올인 리치골드M,0,0,1,0
쉬림프올인 리치골드L,0,0,1,0
쉬림프올인 치즈크러스트M,0,0,1,0
쉬림프올인 치즈크러스트L,0,0,1,0
갈릭버터쉬림프 클래식M,0,0,1,0
갈릭버터쉬림프 클래식L,0,0,1,0
갈릭버터쉬림프 크런치M,0,0,1,0
갈릭버터쉬림프 크런치L,0,0,1,0
갈릭버터쉬림프 리치골드M,0,0,1,0
갈릭버터쉬림프 리치골드L,0,0,1,0
갈릭버터쉬림프 치즈크러스트M,0,0,1,0
갈릭버터쉬림프 치즈크러스트L,0,0,1,0
토핑킹 크런치M,0,0,1,0
토핑킹 크런치L,0,0,1,0
토핑킹 리치골드M,0,0,1,0
토핑킹 리치골드L,0,0,1,0
토핑킹 치즈크러스트M,0,0,1,0
토핑킹 치즈크러스트L,0,0,1,0
치즈킹 크런치M,0,0,1,0
치즈킹 크런치L,0,0,1,0
치즈킹 리치골드M,0,0,1,0
치즈킹 리치골드L,0,0,1,0
치즈킹 치즈크러스트M,0,0,1,0
치즈킹 치즈크러스트L,0,0,1,0
큐브스테이크 크런치M,0,0,1,0
큐브스테이크 크런치L,0,0,1,0
큐브스테이크 리치골드M,0,0,1,0
큐브스테이크 리치골드L,0,0,1,0
큐브스테이크 치즈크러스트M,0,0,1,0
큐브스테이크 치즈크러스트L,0,0,1,0
갈릭마블 스테이크 크런치M,0,0,1,0
갈릭마블 스테이크 크런치L,0,0,1,0
갈릭마블 스테이크 리치골드M,0,0,1,0
갈릭마블 스테이크 리치골드L,0,0,1,0
갈릭마블 스테이크 치즈크러스트M,0,0,1,0
갈릭마블 스테이크 치즈크러스트L,0,0,1,0
쉬림프&스테이크 올인 크런치M,0,0,1,0
쉬림프&스테이크 올인 크런치L,0,0,1,0
쉬림프&스테이크 올인 리치골드M,0,0,1,0
쉬림프&스테이크 올인 리치골드L,0,0,1,0
쉬림프&스테이크 올인 치즈크러스트M,0,0,1,0
쉬림프&스테이크 올인 치즈크러스트L,0,0,1,0
직화불고기 크런치M,0,0,1,0
직화불고기 크런치L,0,0,1,0
직화불고기 리치골드M,0,0,1,0
직화불고기 리치골드L,0,0,1,0
직화불고기 치즈크러스트M,0,0,1,0
직화불고기 치즈크러스트L,0,0,1,0
수퍼슈프림 크런치M,0,0,1,0
수퍼슈프림 크런치L,0,0,1,0
수퍼슈프림 리치골드M,0,0,1,0
수퍼슈프림 리치골드L,0,0,1,0
수퍼슈프림 치즈크러스트M,0,0,1,0
수퍼슈프림 치즈크러스트L,0,0,1,0
베이컨포테이토 크런치M,0,0,1,0
베이컨포테이토 크런치L,0,0,1,0
베이컨포테이토 리치골드M,0,0,1,0
베이컨포테이토 리치골드L,0,0,1,0
베이컨포테이토 치즈크러스트M,0,0,1,0
베이컨포테이토 치즈크러스트L,0,0,1,0
직화불고기L,0,0,1,0
페페로니M,0,0,1,0
페페로니L,0,0,1,0
수퍼슈프림L,0,0,1,0
치즈M,0,0,1,0
